PWSID,Water System Name, Population , Service Connections , Median Household Income , Water Bill ,Hours of Minimum Wage,Governance Type,Leadership Mechanism,Upcoming Election,GoverningBody, Average Governing Body Compensation ,Leadership Pop_Asian,Leadership Pop_Black,Leadership Pop_Hispanic,Leadership Pop_NA,Leadership Pop_TwoOrMore,Leadership Pop_White,Required Operator,Highest Operator On Staff,RiskScore,Water Quality Violations 2015-2019,Primary Water Source,Water System Website,CCR
CA1910225,LAS VIRGENES MWD,"75,384","19,955","$128,289 ",$68.22 ,5,Special District,Municipal Election,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,6,T4,T5,Not In Risk Assessment,0,SW,https://www.lvmwd.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910225.pdf
CA1910127,"COVINA-CITY, WATER DEPT.","33,300","8,504","$67,118 ",$68.27 ,5,City/Municipal,Municipal Election,2022,City Council,"$4,800 ",0,1,3,0,0,1,None,T3,Not In Risk Assessment,0,SWP,https://covinaca.gov/publicworks/page/water-supply,https://drinc.ca.gov/ear/CCR/CCR2019CA1910127.pdf
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,"260,500","46,346","$65,030 ",$68.30 ,5,Investor Owned Utility,No Data,No data,N/A,  No Compensation Data  ,0,0,0,0,0,0,T5,T4,Not In Risk Assessment,0,GW,https://www.sgvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910039.pdf
CA1910189,SAN GABRIEL VALLEY WATER CO.-MONTEBELLO,"8,641","1,581","$79,462 ",$68.46 ,5,Investor Owned Utility,No Data,No data,N/A,  No Compensation Data  ,0,1,0,0,0,0,None,T4,Not At-Risk,0,GWP,https://www.sgvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910189.pdf
CA1910054,LA CANADA IRRIGATION DIST.,"9,300","2,939","$149,020 ",$68.53 ,5,Irrigation District,Municipal Election,No data,Board of Directors,"$1,200 ",0,0,0,0,0,0,D3,T3,Not At-Risk,0,SWP,https://www.lacanadaid.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910054.pdf
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,"143,017","32,937","$82,906 ",$68.66 ,5,Investor Owned Utility,Stakeholder Election,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,11,T2,T2,Not In Risk Assessment,0,SWP,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910033.pdf
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,"96,314","26,669","$93,761 ",$68.66 ,5,Investor Owned Utility,No Data,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,Not In Risk Assessment,0,SWP,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910134.pdf
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,"70,271","24,059","$139,084 ",$68.66 ,5,Investor Owned Utility,Stakeholder Election,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,None,T3,Not In Risk Assessment,0,SWP,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910104.pdf
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.","62,183","13,631","$63,640 ",$69.31 ,5,City/Municipal,Municipal Election,2022,City Council,"$6,480 ",4,0,1,0,0,0,T4,T4,Not In Risk Assessment,0,GW,https://www.montereypark.ca.gov/372/Utility-Billing,https://drinc.ca.gov/ear/CCR/CCR2019CA1910092.pdf
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,"20,453","6,198","$93,175 ",$71.89 ,5,Investor Owned Utility,Stakeholder Election,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T1,T4,Not In Risk Assessment,0,SWP,https://www.amwater.com/caaw/water-quality/water-quality-reports/baldwin-hills,https://drinc.ca.gov/ear/CCR/CCR2019CA1910052.pdf
CA1910050,"COMMERCE-CITY, WATER DEPT.","4,203",989,"$50,030 ",$73.09 ,5,City/Municipal,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T2,T3,Not At-Risk,0,SWP,https://www.ci.commerce.ca.us/residents/utilities,https://drinc.ca.gov/ear/CCR/CCR2019CA1910050.pdf
CA1910152,"SOUTH GATE-CITY, WATER DEPT.","88,654","14,425","$51,886 ",$73.88 ,5,City/Municipal,Municipal Election,No data,City Council,"$7,800 ",0,0,5,0,0,0,T2,T3,Not In Risk Assessment,0,GW,http://www.cityofsouthgate.org/225/Public-Works,https://drinc.ca.gov/ear/CCR/CCR2019CA1910152.pdf
CA1910061,LAS FLORES WATER CO.,"4,844","1,479","$105,250 ",$75.77 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T2,Potentially At-Risk,0,SWP,https://www.lasfloreswaterco.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910061.pdf
CA1910063,LINCOLN AVENUE WATER CO.,"16,126","4,476","$88,765 ",$75.80 ,6,Mutual Water Company,No Data,No data,Board of Directors/Officers,"$10,878 ",0,1,1,0,0,3,T2,T3,Not In Risk Assessment,0,SW,https://lawc.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910063.pdf
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.","11,000","3,804","$96,173 ",$75.85 ,6,City/Municipal,Municipal Election,No data,City Council,  No Compensation Data  ,1,0,0,0,0,4,T2,T2,Not In Risk Assessment,0,GW,https://www.cityofsierramadre.com/residents/utilities/water,https://drinc.ca.gov/ear/CCR/CCR2019CA1910148.pdf
CA1910191,"NORWALK - CITY, WATER DEPT.","12,794","5,322","$65,238 ",$76.15 ,6,City/Municipal,Municipal Election,2022,City Council,  No Compensation Data  ,0,0,4,0,0,2,T1,T2,Not In Risk Assessment,0,SWP,https://www.norwalk.org/city-hall/departments/public-services/water-sewer-services,https://drinc.ca.gov/ear/CCR/CCR2019CA1910191.pdf
CA1910079,"LYNWOOD-CITY, WATER DEPT.","70,492","9,136","$56,060 ",$76.35 ,6,City/Municipal,Municipal Election,No data,City Council,"$11,700 ",0,0,5,0,0,0,Any Level,T2,Not In Risk Assessment,0,SWP,http://lynwood.ca.us/public-works/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910079.pdf
CA1910073,"LOMITA-CITY, WATER DEPT.","20,320","4,384","$71,302 ",$76.81 ,5,City/Municipal,Municipal Election,No data,City Council,"$4,680 ",0,0,0,0,0,5,T2,T3,Not In Risk Assessment,1,SWP,https://www.lomitawater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910073.pdf
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,"151,300","26,115","$47,398 ",$77.21 ,6,Investor Owned Utility,Stakeholder Election,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T3,Not In Risk Assessment,0,SWP,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910036.pdf
CA1910044,"GLENDORA-CITY, WATER DEPT.","44,444","13,468","$91,365 ",$79.10 ,6,City/Municipal,Municipal Election,No data,City Council,"$10,800 ",0,0,0,0,0,5,T2,T2,Not In Risk Assessment,0,SWP,https://www.cityofglendora.org/departments-services/public-works/water,https://drinc.ca.gov/ear/CCR/CCR2019CA1910044.pdf
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.","35,135","13,446","$168,323 ",$79.64 ,6,City/Municipal,Municipal Election,No data,City Council,$500 ,0,0,0,0,0,5,T2,T3,Not In Risk Assessment,0,SWP,https://www.manhattanbeach.gov/departments/finance/revenue-services/water-and-refuse,https://drinc.ca.gov/ear/CCR/CCR2019CA1910083.pdf
CA1910011,"GSWC - BELL, BELL GARDENS","58,039","7,332","$42,475 ",$82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,0,SWP,https://www.gswater.com/central-basin-west,https://drinc.ca.gov/ear/CCR/CCR2019CA1910011.pdf
CA1910077,GSWC - FLORENCE/GRAHAM,"66,203","9,682","$44,614 ",$82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,0,SWP,https://www.gswater.com/central-basin-west,https://drinc.ca.gov/ear/CCR/CCR2019CA1910077.pdf
CA1910195,GSWC - HOLLYDALE,"7,706","1,667","$57,492 ",$82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,8,T2,T3,Not At-Risk,0,GW,https://www.gswater.com/central-basin-west,https://drinc.ca.gov/ear/CCR/CCR2019CA1910195.pdf
CA1910004,GSWC - ARTESIA,"48,255","10,728","$67,810 ",$82.40 ,6,Investor Owned Utility,Appointment,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,0,SWP,https://www.gswater.com/central-basin-east,https://drinc.ca.gov/ear/CCR/CCR2019CA1910004.pdf
CA1910098,GSWC - NORWALK,"43,874","9,341","$71,240 ",$82.40 ,6,Investor Owned Utility,Appointment,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,0,SWP,https://www.gswater.com/central-basin-east,https://drinc.ca.gov/ear/CCR/CCR2019CA1910098.pdf
CA1910030,GSWC - CULVER CITY,"36,271","9,268","$99,421 ",$82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T1,T3,Not In Risk Assessment,0,SWP,https://www.gswater.com/culver-city,https://drinc.ca.gov/ear/CCR/CCR2019CA1910030.pdf
CA1910072,GSWC - WILLOWBROOK,"11,037","1,441","$42,844 ",$82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T1,T3,Not At-Risk,0,GW,https://www.gswater.com/central-basin-west,https://drinc.ca.gov/ear/CCR/CCR2019CA1910072.pdf
CA1910155,GSWC - SOUTHWEST,"274,647","51,764","$56,927 ",$82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T3,Not In Risk Assessment,0,SWP,https://www.gswater.com/southwest,https://drinc.ca.gov/ear/CCR/CCR2019CA1910155.pdf
CA1910154,CITY OF SOUTH PASADENA,"26,174","6,163","$110,433 ",$82.58 ,6,City/Municipal,Municipal Election,No data,City Council,"$3,600 ",1,0,0,0,0,4,T2,T3,Not In Risk Assessment,0,SWP,https://www.southpasadenaca.gov/government/departments/public-works/water-division,https://drinc.ca.gov/ear/CCR/CCR2019CA1910154.pdf
CA1910194,ROWLAND WATER DISTRICT,"55,038","13,202","$75,400 ",$83.60 ,6,Special District,Municipal Election,No data,Board of Directors,"$6,415 ",1,0,1,0,0,4,None,T2,Not In Risk Assessment,0,SWP,https://www.rowlandwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910194.pdf
CA1910026,"COMPTON-CITY, WATER DEPT.","79,898","14,384","$53,204 ",$83.75 ,6,City/Municipal,Municipal Election,No data,City Council,  No Compensation Data  ,0,4,1,0,0,0,Any Level,T4,Not In Risk Assessment,0,SWP,http://www.comptoncity.org/depts/mu/waterutil/default.asp,https://drinc.ca.gov/ear/CCR/CCR2019CA1910026.pdf
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER","4,070,679","709,135","$67,521 ",$84.36 ,6,City/Municipal,Municipal Election,No data,City Council,"$213,201 ",2,3,5,0,0,6,T5,T5,Not In Risk Assessment,1,SW,https://www.ladwp.com/ladwp/faces/ladwp;jsessionid=X7BbhvnPpYJMNqWrymLX0lMYqCr5RfzmyRxT221TJ20pqV0Yq6vp!887757058?_afrLoop=115277819377043&_afrWindowMode=0&_afrWindowId=null#%40%3F_afrWindowId%3Dnull%26_afrLoop%3D115277819377043%26_afrWindowMode%3D0%26_adf.ctrl-state%3D1duasu2qs3_4,https://drinc.ca.gov/ear/CCR/CCR2019CA1910067.pdf
CA1910241,MESA CREST WATER CO.,"2,323",704,   No MHI Data   ,$85.34 ,6,Investor Owned Utility,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,None,Not At-Risk,0,No Data,https://sdwis.waterboards.ca.gov/PDWW/index.jsp,https://drinc.ca.gov/ear/CCR/CCR2019CA1910241.pdf
CA1910244,GREEN VALLEY CWD,"1,190",499,"$72,230 ",$90.00 ,6,Special District,Municipal Election,No data,Board of Directors,$530 ,0,0,0,0,0,0,T1,T3,Not At-Risk,0,GW,https://gvcwd.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910244.pdf
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,"4,806",670,"$70,751 ",$95.41 ,7,Investor Owned Utility,No Data,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,11,Any Level,T2,Not At-Risk,0,GW,https://www.calwater.com/#,https://drinc.ca.gov/ear/CCR/CCR2019CA1910010.pdf
CA1910242,CALIFORNIA WATER SERVICE CO-LAKE HUGHES,260,202,"$90,214 ",$95.41 ,7,Investor Owned Utility,No Data,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T2,Not At-Risk,0,GW,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910242.pdf
CA1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,"1,244",426,"$115,679 ",$95.41 ,7,Investor Owned Utility,No Data,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T2,Potentially At-Risk,0,SWP,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910243.pdf
CA1910028,CRESCENTA VALLEY CWD,"33,203","8,004","$98,068 ",$102.70 ,7,Special District,Municipal Election,No data,Board of Directors,"$2,695 ",0,0,0,0,0,5,T3,T4,Not In Risk Assessment,0,SWP,https://www.cvwd.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910028.pdf
CA1910021,LIBERTY UTILITIES - COMPTON,"23,802","6,978","$56,095 ",$102.74 ,7,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,1,0,0,9,T1,T5,Not In Risk Assessment,0,SWP,https://california.libertyutilities.com/compton/residential/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910021.pdf
CA1910161,LIBERTY UTILITIES - LYNWOOD,"34,171","4,480","$58,017 ",$102.74 ,7,Investor Owned Utility,Stakeholder Election,No data,Board of Directors,  No Compensation Data  ,0,0,1,0,0,9,T2,T5,Not In Risk Assessment,0,SWP,https://california.libertyutilities.com/compton/residential/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910161.pdf
CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,"72,964","16,599","$72,668 ",$102.74 ,7,Investor Owned Utility,Stakeholder Election,No data,Board of Directors,  No Compensation Data  ,0,0,1,0,0,9,T1,T5,Not In Risk Assessment,0,SWP,https://california.libertyutilities.com/compton/residential/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910211.pdf
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,546,246,   No MHI Data   ,$119.55 ,8,County,No Data,No data,LA County Board of Supervisors,"$214,601 ",0,1,1,0,0,3,None,T2,Not At-Risk,0,SWP,https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910075.pdf
CA1910035,KINNELOA IRRIGATION DIST.,"1,940",588,"$129,377 ",$120.69 ,8,Irrigation District,Municipal Election,No data,Board of Directors,"$1,300 ",0,0,0,0,0,0,Any Level,T2,Not At-Risk,0,GW,https://www.kinneloairrigationdistrict.info/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910035.pdf
CA1910204,LOS ANGELES CWWD 29 & 80-MALIBU,"30,361","7,263",   No MHI Data   ,$134.07 ,8,County,No Data,No data,LA County Board of Supervisors,"$214,601 ",0,1,1,0,0,3,T1,T2,Not In Risk Assessment,0,SWP,https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910204.pdf
CA1910199,CALIFORNIA DOMESTIC WATER COMPANY,  -  ,21,"$116,088 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,Stakeholder Election,No data,Board of Directors/Officers,"$53,937 ",0,0,0,0,0,0,T5,T5,Not In Risk Assessment,0,GW,https://caldomestic.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910199.pdf
CA1910023,AVERYDALE MWC,964,292,"$42,250 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,$206 ,0,0,0,0,0,0,None,T2,Not At-Risk,0,GW,https://amwclancaster.org/,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2502&tinwsys_st_code=CA&wsnumber=CA1910023
CA1900146,SUNNYSIDE FARMS MUTUAL WATER COMPANY,326,147,"$110,726 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,$373 ,0,0,0,0,0,0,None,T2,Not At-Risk,0,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2230&tinwsys_st_code=CA&wsnumber=CA1900146,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2230&tinwsys_st_code=CA
CA1910246,LAND PROJECTS MUTUAL WATER CO.,"1,500",544,"$54,066 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,$600 ,0,0,0,0,0,0,Any Level,T2,HR2W,23,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2637&tinwsys_st_code=CA&wsnumber=CA1910246,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2637&tinwsys_st_code=CA&wsnumber=CA1910246
CA1910165,VALLEY VIEW MUTUAL WATER CO.,"4,571","1,389","$69,850 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,"$1,065 ",0,0,0,0,0,0,Any Level,T1,Not At-Risk,0,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2602&tinwsys_st_code=CA&wsnumber=CA1910165,https://drinc.ca.gov/ear/CCR/CCR2019CA1910165.pdf
CA1900301,SHADOW ACRES MUTUAL WATER COMPANY,431,154,"$110,653 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,"$1,350 ",0,0,0,0,0,0,None,T2,Not At-Risk,0,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2255&tinwsys_st_code=CA&wsnumber=CA1900301,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2255&tinwsys_st_code=CA&wsnumber=CA1900301
CA1910249,WHITE FENCE FARMS MWC NO. 1,"1,145",454,   No MHI Data   , No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,"$1,363 ",0,0,0,0,0,0,T2,T2,HR2W,0,SWP,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2640&tinwsys_st_code=CA&wsnumber=CA1910249,https://drinc.ca.gov/ear/CCR/CCR2019CA1910249.pdf
CA1910166,VALLEY WATER CO.,"10,070","3,599","$190,318 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,"$1,584 ",0,0,0,0,0,0,T3,T3,Not In Risk Assessment,0,SWP,http://valleywatercompany.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910166.pdf
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,"1,129",342,"$55,166 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,"$2,520 ",0,0,1,0,0,4,T1,T2,Not At-Risk,0,SWP,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2491&tinwsys_st_code=CA&wsnumber=CA1910012,https://drinc.ca.gov/ear/CCR/CCR2018CA1910012.pdf
CA1900145,REESEDALE MUTUAL,76,23,"$49,625 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,None,None,Not At-Risk,0,GW,https://reesedalemutualwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1900145.pdf
CA1900804,EVERGREEN MUTUAL WATER COMPANY,95,46,"$56,757 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Not At-Risk,1,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2377&tinwsys_st_code=CA&wsnumber=CA1900804,https://drinc.ca.gov/ear/CCR/CCR2019CA1900804.pdf
CA1900809,LANDALE MUTUAL WATER COMPANY,752,166,"$58,949 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,Not At-Risk,0,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2381&tinwsys_st_code=CA&wsnumber=CA1900809,https://drinc.ca.gov/ear/CCR/CCR2018CA1900809.pdf
CA1900523,WHITE FENCE FARMS MWC NO.3,749,253,"$74,993 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,Any Level,T2,Not At-Risk,0,SWP,http://whitefencefarms3.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1900523.pdf
CA1910160,TRACT 349 MUTUAL WATER CO.,"7,500",919,"$44,951 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors/ Officers,"$28,407 ",0,0,0,0,0,5,Any Level,T2,Not At-Risk,0,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2599&tinwsys_st_code=CA&wsnumber=CA1910160,https://drinc.ca.gov/ear/CCR/CCR2019CA1910160.pdf
CA1910158,STERLING MUTUAL WATER COMPANY,548,196,"$67,758 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors/Officers,  No Compensation Data  ,0,0,0,0,0,0,None,None,Not At-Risk,0,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2597&tinwsys_st_code=CA&wsnumber=CA1910158,https://drinc.ca.gov/ear/CCR/CCR2018CA1910158.pdf
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.","15,414","5,572","$43,493 ", No Water Bill Data ,No Water Bill Data,City/Municipal,Municipal Election,2022,City Council,"$14,744 ",0,0,4,0,0,1,T1,T3,Not In Risk Assessment,0,SWP,https://www.hpca.gov/76/Water-Sewer-Division,https://drinc.ca.gov/ear/CCR/CCR2019CA1910049.pdf
CA1910147,SATIVA-L.A. CWD,"6,837","1,643","$47,652 ", No Water Bill Data ,No Water Bill Data,County,No Data,No data,LA County Board of Supervisors,"$214,601 ",0,0,0,0,0,1,Any Level,T3,Not At-Risk,0,GW,https://www.sativawd.com/,https://sdwis.waterboards.ca.gov/PDWW/
CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",798,219,   No MHI Data   , No Water Bill Data ,No Water Bill Data,County,Appointment,No data,LA County Board of Supervisors,"$214,601 ",0,1,1,0,0,3,T1,T3,Not At-Risk,0,GW,https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910027.pdf
CA1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK","1,311",347,   No MHI Data   , No Water Bill Data ,No Water Bill Data,County,No Data,No data,LA County Board of Supervisors,"$214,601 ",0,1,1,0,0,3,T1,T3,Not At-Risk,0,SWP,https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910025.pdf
CA1910070,"LOS ANGELES CWWD 40,REG 4 & 34-LANCASTER","184,809","50,885",   No MHI Data   , No Water Bill Data ,No Water Bill Data,County,No Data,No data,LA County Board of Supervisors,"$214,601 ",0,1,1,0,0,3,T2,T3,Not In Risk Assessment,0,SWP,https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910070.pdf
CA1900130,DEL RIO MUTUAL,700,133,"$53,127 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officer,  No Compensation Data  ,0,0,0,0,0,0,None,None,Not At-Risk,0,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2224&tinwsys_st_code=CA&wsnumber=CA1900130,https://drinc.ca.gov/ear/CCR/CCR2019CA1900130.pdf
CA1900102,WESTSIDE PARK MUTUAL WATER,485,158,"$110,542 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officers,"$3,728 ",0,0,0,0,0,0,T1,T2,Not At-Risk,0,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2212&tinwsys_st_code=CA&wsnumber=CA1900102,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2212&tinwsys_st_code=CA
CA1900794,ANTELOPE PARK MUTUAL WATER COMPANY,445,152,"$47,431 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officers,"$7,143 ",0,0,0,0,0,0,T1,T5,Not At-Risk,0,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2372&tinwsys_st_code=CA&wsnumber=CA1900794,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2372&tinwsys_st_code=CA&wsnumber=CA1900794
